time,date,observed,upperbound
1,1960-01-01,0,2.989102169623481e-18
2,1960-04-01,0,1.4038300986254803e-17
3,1960-07-01,0,8.282644687942075e-17
4,1960-10-01,0,4.974274388166766e-16
5,1961-01-01,0,2.8322028958507964e-15
6,1961-04-01,0,1.5286456122654792e-14
7,1961-07-01,0,7.825779507614931e-14
8,1961-10-01,0,3.8022992913269314e-13
9,1962-01-01,0,1.7543492808768503e-12
10,1962-04-01,0,7.691020051341676e-12
11,1962-07-01,0,3.2054701375220624e-11
12,1962-10-01,0,1.2707950810071665e-10
13,1963-01-01,0,4.794749233791143e-10
14,1963-04-01,0,1.7226153592675541e-9
15,1963-07-01,0,5.8960724648260936e-9
16,1963-10-01,0,1.9235561934053115e-8
17,1964-01-01,0,5.984466777605828e-8
18,1964-04-01,0,1.7763602359840034e-7
19,1964-07-01,0,5.03296817584888e-7
20,1964-10-01,0,1.361768965958671e-6
21,1965-01-01,0,3.520174784237825e-6
22,1965-04-01,0,8.697559854594352e-6
23,1965-07-01,0,2.0549164229376323e-5
24,1965-10-01,0,4.644448618054587e-5
25,1966-01-01,0,1.0045974539491858e-4
26,1966-04-01,0,2.0804189981287957e-4
27,1966-07-01,0,4.126640890052535e-4
28,1966-10-01,0,7.843538191111435e-4
29,1967-01-01,0,0.001429142687632226
30,1967-04-01,0,0.0024972662765638688
31,1967-07-01,0,0.004186557264168669
32,1967-10-01,0,0.006736429480302438
33,1968-01-01,0,0.010407863595714991
34,1968-04-01,0,0.015446585887679259
35,1968-07-01,0,0.02203050788170965
36,1968-10-01,0,0.03020801691741923
37,1969-01-01,0,0.03983946121463223
38,1969-04-01,0,0.05055800817325944
39,1969-07-01,0,0.06176579546450876
40,1969-10-01,0,0.07267572797854696
41,1970-01-01,0,0.0823989873280481
42,1970-04-01,0,0.09006590651476794
43,1970-07-01,0,0.09495723029235882
44,1970-10-01,0,0.09661774683964458
45,1971-01-01,0,0.09492699728580366
46,1971-04-01,0,0.09011176153727446
47,1971-07-01,0,0.08269923759406997
48,1971-10-01,0,0.07342382263125007
49,1972-01-01,0,0.0631099996356167
50,1972-04-01,0,0.0525566392043132
51,1972-07-01,0,0.04244408742225846
52,1972-10-01,0,0.03327687198317036
53,1973-01-01,0,0.025364898428287572
54,1973-04-01,0,0.018837594979083588
55,1973-07-01,0,0.013680451051786838
56,1973-10-01,0,0.009782220186942877
57,1974-01-01,0,0.006983016782693812
58,1974-04-01,0,0.005117366989390066
59,1974-07-01,0,0.004050784657429099
60,1974-10-01,0,0.003712969165294032
61,1975-01-01,0,0.004135385578612876
62,1975-04-01,0,0.005506850330581015
63,1975-07-01,0,0.008270042208505142
64,1975-10-01,0,0.013298549678457386
65,1976-01-01,0,0.02222496867283515
66,1976-04-01,0,0.038047404298490996
67,1976-07-01,0,0.06624391348688949
68,1976-10-01,0,0.11680430738930946
69,1977-01-01,0,0.20788258036992135
70,1977-04-01,0,0.37227336859657223
71,1977-07-01,0,0.6683174199993644
72,1977-10-01,0,1.1986599368556994
73,1978-01-01,1,2.1369014243432662
74,1978-04-01,0,3.753776494541963
75,1978-07-01,0,6.444681423012581
76,1978-10-01,0,10.769365361326262
77,1979-01-01,0,17.495757874738725
78,1979-04-01,0,27.631542637550357
79,1979-07-01,0,42.43502192878846
80,1979-10-01,0,63.39523104821987
81,1980-01-01,0,92.16913121312096
82,1980-04-01,0,130.46763932139746
83,1980-07-01,0,179.88765247002556
84,1980-10-01,0,241.7008584294413
85,1981-01-01,1,316.60897848611904
86,1981-04-01,0,404.4703039585351
87,1981-07-01,0,504.07339943987273
88,1981-10-01,0,613.0609353502434
89,1982-01-01,0,728.0035728793622
90,1982-04-01,0,844.5948227004767
91,1982-07-01,2,957.9624691046223
92,1982-10-01,1,1063.0460202816269
93,1983-01-01,2,1155.01957006113
94,1983-04-01,19,1229.7076192396196
95,1983-07-01,6,1283.8240427083365
96,1983-10-01,7,1315.1332588277814
97,1984-01-01,24,1322.7195742750991
98,1984-04-01,23,1307.104126147461
99,1984-07-01,32,1270.0613008695254
100,1984-10-01,42,1214.358194413593
101,1985-01-01,50,1143.479967523932
102,1985-04-01,67,1061.3094448432396
103,1985-07-01,88,971.8079417263099
104,1985-10-01,89,878.7249668266563
105,1986-01-01,95,785.3924554935406
106,1986-04-01,150,694.6267608041626
107,1986-07-01,134,608.6609753879811
108,1986-10-01,201,529.0978173808426
109,1987-01-01,203,456.9302536266547
110,1987-04-01,269,392.6077287815007
111,1987-07-01,283,336.12191141910273
112,1987-10-01,251,287.1138482354945
113,1988-01-01,285,245.00465488272906
114,1988-04-01,284,209.12082563571167
115,1988-07-01,312,178.7707209442575
116,1988-10-01,351,153.2787224032845
117,1989-01-01,360,132.00005448788576
118,1989-04-01,419,114.32600443520796
119,1989-07-01,436,99.68576684781014
120,1989-10-01,414,87.54615936034435
121,1990-01-01,374,77.41741797682788
122,1990-04-01,352,68.86921158360485
123,1990-07-01,381,61.544939689583295
124,1990-10-01,417,55.16216863648894
125,1991-01-01,453,49.498564351210035
126,1991-04-01,391,44.375190588586534
127,1991-07-01,456,39.650271942743004
128,1991-10-01,388,35.22117797010015
129,1992-01-01,515,31.025105544299574
130,1992-04-01,482,27.031908920058154
131,1992-07-01,439,23.23206274169247
132,1992-10-01,487,19.63404166499526
133,1993-01-01,466,16.267386023838373
134,1993-04-01,511,13.177826610527688
135,1993-07-01,589,10.414946078483688
136,1993-10-01,496,8.015530130077249
137,1994-01-01,588,5.993865539819469
138,1994-04-01,548,4.343114476063906
139,1994-07-01,531,3.0372027991390134
140,1994-10-01,536,2.035412309249921
141,1995-01-01,524,1.2923620015017385
142,1995-04-01,536,0.7560871662097036
143,1995-07-01,457,0.39877966801176706
144,1995-10-01,429,0.1884916178473181
